name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Washington,DC,USA",2023-02-05T00:00:00,0.5,-5,-11.8,39.15,0,0,,0,0,46.4,23.7,190,1028.9,78.8,16,0,,0,10,Partially cloudy,partly-cloudy-night,"KDCA,KADW,KDAA"
"Washington,DC,USA",2023-02-05T01:00:00,0.6,-4.2,-11.7,39.28,0,0,,0,0,31.7,18.3,199,1028.3,89.5,16,0,,0,10,Partially cloudy,partly-cloudy-night,"KDCA,KADW,KDAA"
"Washington,DC,USA",2023-02-05T02:00:00,1,-4.2,-11.2,39.55,0,0,,0,0,27.7,22.3,199,1027.6,89.5,16,0,,0,10,Partially cloudy,partly-cloudy-night,"KDCA,KADW,KDAA"
"Washington,DC,USA",2023-02-05T03:00:00,1.1,-3.6,-10.7,41.14,0,0,,0,0,25.9,18.1,200,1027.2,89.5,16,0,,0,10,Partially cloudy,partly-cloudy-night,"KDCA,KADW,KDAA"
"Washington,DC,USA",2023-02-05T04:00:00,1.1,-2.7,-9.4,45.29,0,0,,0,0,25.9,13.3,200,1026.6,89.5,16,0,,0,10,Partially cloudy,partly-cloudy-night,"KDCA,KADW,KDAA"
"Washington,DC,USA",2023-02-05T05:00:00,1.1,-2.7,-8.9,47.28,0,0,,0,0,22.3,13.2,199,1026.5,89.5,16,0,,0,10,Partially cloudy,partly-cloudy-night,"KDCA,KADW,KDAA"
"Washington,DC,USA",2023-02-05T06:00:00,1.6,-2.7,-8.4,47.4,0,0,,0,0,20.5,16.7,190,1026.2,89.5,16,0,,0,10,Partially cloudy,partly-cloudy-night,"KDCA,KADW,KDAA"
"Washington,DC,USA",2023-02-05T07:00:00,1,-3.3,-8.3,49.59,0,0,,0,0,22.3,16.2,199,1026.1,78.8,16,5,0,0,10,Partially cloudy,partly-cloudy-night,"KDCA,AS365,KADW,KDAA"
"Washington,DC,USA",2023-02-05T08:00:00,1.6,-2.6,-7.9,49.25,0,0,,0,0,24.1,16.2,198,1025.6,78.8,16,44,0.2,0,10,Partially cloudy,partly-cloudy-day,"KDCA,AS365,KADW,KDAA"
"Washington,DC,USA",2023-02-05T09:00:00,3.3,-1.1,-7.8,44.07,0,0,,0,0,25.9,20.2,191,1025.2,89.5,16,151,0.5,2,10,Partially cloudy,partly-cloudy-day,"KDCA,AS365,KADW,KDAA"
"Washington,DC,USA",2023-02-05T10:00:00,3.8,-0.1,-7.2,44.36,0,0,,0,0,27.7,18.1,190,1024.4,89.5,16,217,0.8,2,10,Partially cloudy,partly-cloudy-day,"KDCA,AS365,KADW,KDAA"
"Washington,DC,USA",2023-02-05T11:00:00,6.7,3.1,-5,43.02,0,2,,0,0,31.3,20.5,200,1023,76,16.2,433,1.6,4,10,Partially cloudy,partly-cloudy-day,
"Washington,DC,USA",2023-02-05T12:00:00,7.8,4.5,-4.4,41.75,0,2,,0,0,35.3,20.5,200,1022,84,16.2,482,1.7,5,10,Partially cloudy,partly-cloudy-day,
"Washington,DC,USA",2023-02-05T13:00:00,9.5,6.5,-4.4,37.22,0,2,,0,0,37.1,22.3,200,1021,86,16.2,483,1.7,5,10,Partially cloudy,partly-cloudy-day,
"Washington,DC,USA",2023-02-05T14:00:00,10,7.1,-3.3,39.08,0,2,,0,0,38.9,22.3,200,1020,85,16.2,425,1.5,4,10,Partially cloudy,partly-cloudy-day,
"Washington,DC,USA",2023-02-05T15:00:00,10.6,10.6,-3.3,37.55,0,2,,0,0,38.9,22.3,200,1019,83,16.2,334,1.2,3,10,Partially cloudy,partly-cloudy-day,
"Washington,DC,USA",2023-02-05T16:00:00,10.6,10.6,-2.2,40.74,0,2,,0,0,38.9,22.3,200,1018,84,16.2,202,0.7,2,10,Partially cloudy,partly-cloudy-day,
"Washington,DC,USA",2023-02-05T17:00:00,10,7.3,-1.1,45.98,0,2,,0,0,35.3,20.5,190,1018,81,16.2,79,0.3,1,10,Partially cloudy,partly-cloudy-day,
"Washington,DC,USA",2023-02-05T18:00:00,8.9,6.3,0.6,56.02,0,2,,0,0,31.3,16.6,190,1017,87,16.2,32,0.1,0,10,Partially cloudy,partly-cloudy-night,
"Washington,DC,USA",2023-02-05T19:00:00,8.4,5.7,2.8,67.83,0,3,,0,0,29.5,16.6,200,1017,86,16.2,27,0.1,0,10,Partially cloudy,partly-cloudy-night,
"Washington,DC,USA",2023-02-05T20:00:00,7.8,5.2,3.9,76.35,0,3,,0,0,27.7,14.8,200,1017,85,16.2,0,,0,10,Partially cloudy,partly-cloudy-night,
"Washington,DC,USA",2023-02-05T21:00:00,7.3,4.8,4.5,82.4,0,3,,0,0,24.1,13,200,1017,77,16.2,0,,0,10,Partially cloudy,partly-cloudy-night,
"Washington,DC,USA",2023-02-05T22:00:00,6.7,4.4,5,88.9,0,3,,0,0,22.3,11.2,210,1017,61,16.2,0,,0,10,Partially cloudy,partly-cloudy-night,
"Washington,DC,USA",2023-02-05T23:00:00,6.2,3.8,5,92.02,0,3,,0,0,18.4,11.2,220,1016,30,16.2,0,,0,10,Partially cloudy,partly-cloudy-night,
"Washington,DC,USA",2023-02-06T00:00:00,5.6,3.5,4.5,92.63,0,3,,0,0,13,9.4,220,1016,28,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
"Washington,DC,USA",2023-02-06T01:00:00,5,3.2,4.5,96.57,0,0,,0,0,7.6,7.6,230,1015,52,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
"Washington,DC,USA",2023-02-06T02:00:00,5,3.9,3.9,92.59,0,0,,0,0,7.6,5.4,240,1014,48,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
"Washington,DC,USA",2023-02-06T03:00:00,4.5,3.3,3.4,92.56,0,0,,0,0,7.6,5.4,270,1014,47,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
"Washington,DC,USA",2023-02-06T04:00:00,4.5,2.6,2.8,88.72,0,0,,0,0,9.4,7.6,300,1014,45,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
"Washington,DC,USA",2023-02-06T05:00:00,4.5,2.2,2.8,88.72,0,0,,0,0,13,9.4,310,1014,40,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
"Washington,DC,USA",2023-02-06T06:00:00,4.5,1.4,2.8,88.72,0,0,,0,0,16.6,13,310,1015,34,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
"Washington,DC,USA",2023-02-06T07:00:00,4.5,1.1,2.3,85.62,0,0,,0,0,22.3,14.8,320,1016,29,16.3,0,,0,10,Partially cloudy,partly-cloudy-night,
"Washington,DC,USA",2023-02-06T08:00:00,5,1.5,2.3,82.68,0,0,,0,0,20.5,16.6,320,1016,27,16.3,88,0.3,1,10,Partially cloudy,partly-cloudy-day,
